plant_id,scientific_name,common_name,family,vernacular_names,medicinal_system,distribution_region,medicinal_use,parts_used,habit,nmpb_med_system_tag,nmpb_api_sanskrit_names,bsi_herbarium_uses_url,source_reference,plant_match_confidence,is_synthetic,source_bsi_s_no,source_nmpb_s_no
PLANT-1163,Ipomoea sepiaria Roxb. ex Koen.,Bankalmi,CONVOLVULACEAE,Bankalmi; Thiruthaali,Ayurveda,,,Whole Plant,Climber,AFS,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009779&column=szBarcode,BSI+NMPB,HIGH,False,964,514
PLANT-1164,Ipomoea tuberosa L.,Spanish Arbour-vine (Eng.),CONVOLVULACEAE,Spanish Arbour-vine (Eng.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009813&column=szBarcode,BSI,SOURCE_ONLY,False,965,
PLANT-1165,Ipomoea violacea L.,Kinarwel (Mar.),CONVOLVULACEAE,Kinarwel (Mar.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009777&column=szBarcode,BSI,SOURCE_ONLY,False,966,
PLANT-1166,Iris domestica (L.) Goldblatt & Mabb.,Leopard lily (Eng.),IRIDACEAE,Leopard lily (Eng.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003130&column=szBarcode,BSI,SOURCE_ONLY,False,967,
PLANT-1167,Iris germanica L.,Puskaramulam Herb,IRIDACEAE,Puskaramulam Herb,Ayurveda,,,Root,,AHTU,,,NMPB,SOURCE_ONLY,False,,515
PLANT-1168,Ixora arborea Roxb. ex Sm.,"Kota-gandhal, Nevari",RUBIACEAE,"Kota-gandhal, Nevari",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009384&column=szBarcode,BSI,SOURCE_ONLY,False,968,
PLANT-1169,Ixora coccinea L.,"Rangan, Rookmini",RUBIACEAE,"Rangan, Rookmini; Thechippoovu",Ayurveda,,,Root,Shrub,AFS,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009382&column=szBarcode,BSI+NMPB,HIGH,False,969,516
PLANT-1170,Ixora nigricans R.Br. ex Wight & Arn.,Katkura (Mar.),RUBIACEAE,Katkura (Mar.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009383&column=szBarcode,BSI,SOURCE_ONLY,False,970,
PLANT-1171,Jasminum angustifolium Vahl.,"Banmallica, Mwari",OLEACEAE,"Banmallica, Mwari; Ban-mallika",Ayurveda,,,"Flower, Root",Climber,AFS,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009581&column=szBarcode,BSI+NMPB,HIGH,False,971,517
PLANT-1172,Jasminum arborescens Roxb.,"Bela, Chameli",OLEACEAE,"Bela, Chameli",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009579&column=szBarcode,BSI,SOURCE_ONLY,False,972,
PLANT-1173,Jasminum azoricum L.,Malati (Beng.),OLEACEAE,Malati (Beng.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009582&column=szBarcode,BSI,SOURCE_ONLY,False,973,
PLANT-1174,Jasminum grandiflorum L.,"Chameli, Jati",OLEACEAE,"Chameli, Jati; Chameliphool; Names",Ayurveda,,,"Flower,; Leaf, Root",Climber,AFSTUTag **,Names,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009577&column=szBarcode,BSI+NMPB,HIGH,False,974,518
PLANT-1175,Jasminum multiflorum (Burm.f.) Andrews,"Chameli, Kunda",OLEACEAE,"Chameli, Kunda",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009584&column=szBarcode,BSI,SOURCE_ONLY,False,975,
PLANT-1176,Jasminum officinale L.,"Chameli, Jati",OLEACEAE,"Chameli, Jati; Ban chameli; Jati",Ayurveda,,,Flower,Climber,AFHU,Jati,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009586&column=szBarcode,BSI+NMPB,HIGH,False,976,519
PLANT-1177,Jasminum ritchiei C.B.Clarke,Karumullai (Tam.),OLEACEAE,Karumullai (Tam.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009575&column=szBarcode,BSI,SOURCE_ONLY,False,977,
